Date of Report,Longitude,Latitude,County,Sub-County,Ward,Village,Animals Affected,Signs of Disease,Total Number of Animals in the herd,Number Sick,Number Dead
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Discharge from the eyes (Machozi), Swollen glands]",10,6,1
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Discharge from the eyes (Machozi), Swollen glands]",6,6,1
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Sheep,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Diarrhoea (Kuhara)]",2,2,0
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Sheep,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Diarrhoea (Kuhara)]",6,4,1
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Goats,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Bloody Faeces]",4,4,1
2026-07-24,0.0,0.0,Mandera,Mandera East,Township,BP1,Chicken,[Loss of weight],16,2,1
2026-07-24,41.81917453184724,3.93060221336782,Mandera,Mandera East,Neboi,Shafshafey,Goats,"[Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua)]",36,2,0
2026-07-24,41.819433784112334,3.93063155002892,Mandera,Mandera East,Neboi,Shafshaf,Sheep,"[Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua)]",35,1,0
2026-07-24,41.819405956193805,3.9307157462462783,Mandera,Mandera East,Neboi,Shafshafey,Chicken,"[Sudden Death (Kifo cha ghafla), Nasal discharges (Makamasi)]",12,1,1
2026-07-24,41.81937418878079,3.9305902691558,Mandera,Mandera East,Neboi,Shafshaf,Goats,"[Abortions (Mimba Kutoka), Lameness (Kushindwa kutembea)]",23,2,0
2026-07-25,41.8193697463721,3.9306172588840127,Mandera,Mandera East,Neboi,Shafshafey,Goats,"[Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi)]",31,1,0
2026-07-25,41.81931593455374,3.9306525886058807,Mandera,Mandera East,Neboi,Shafshafey,Sheep,"[Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua)]",28,2,0
2026-07-25,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Goats,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Bloody Faeces]",13,6,3
2026-07-25,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Discharge from the eyes (Machozi), Swollen glands]",5,3,0
2026-07-25,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Swollen glands, Discharge from the eyes (Machozi)]",20,12,2
2026-07-25,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Sheep,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Diarrhoea (Kuhara)]",3,3,1
2026-07-25,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Goats,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Bloody Faeces]",22,13,4
2026-07-25,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Sheep,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Diarrhoea (Kuhara)]",10,6,2
