Id,Cadre,Date of Start of Outbreak/Event,Date Event Reported,Season,Latitude,Longitude,Region,Area Type,Area Name,Animal Category,Species,Population in Herd,Traumatic injuries,Number Affected,Type of injury,Nature of human inflicted injury,Death of animals,Skin lesions/ swellings,Respiratory Signs,oral and foot lesions,Diarrhoea,Emaciation,Aggression,Central Nervous System signs,Blindness/Eye condition,Reproductive signs,Other Signs/Syndomes,Number Sick / Bitten,Number Dead,Disease/Condition,Other Disease,Nature of Diagnosis,Number of Humans Affected,Disease Control Method
c72882fe-2c9e-4bc3-998c-1f56e27352b8,Veterinarian,2023-04-17,2023-04-17,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Community land,Mirera ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
d6bc85c3-79c5-4234-8820-9cb8770b6ba5,Veterinarian,2023-04-24,2023-04-24,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,KALRO Olomagogo ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
8171ed31-271c-4b24-9e89-530ee4ae8f4c,Veterinarian,2023-04-30,2023-04-30,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Community land,Kamathatha ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
91e844ee-6c20-4e03-a630-f8f6693fee0a,Veterinarian,2023-05-02,2023-05-02,Dry,0.0,0.0,Central Rift,Non-Protected Area: Community land,Kamathatha ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
64f4b149-f7e1-4cc7-b458-0a9f76bc4c83,Veterinarian,2023-05-15,2023-05-15,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Marula Estate ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
38f9f846-a472-4a81-8fbd-0e392a15e7b6,Veterinarian,2023-05-18,2023-05-18,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Soysambu Conservancy ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
adf8e522-2e3d-4824-a23d-ca6da1538ae8,Veterinarian,2023-06-09,2023-06-09,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Soysambu Conservancy ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
c3ed21a5-4023-4d2e-bc21-c09c1e844b7f,Veterinarian,2023-07-13,2023-07-13,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Conservancies,Loldia ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snares ,Clinical,0.0,[Treatment]
b60ce68a-2889-4633-8904-840803226661,Veterinarian,2023-07-18,2023-07-18,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Sergoit Farm,Herbivore,Giraffe,11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
a9b6a796-98ad-470c-b6a4-c71a26865ead,Veterinarian,2023-07-26,2023-07-26,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Lentolia ,Herbivore,Buffalo,11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
5fcb1d0f-da39-4bfa-aa14-3d1eb27a3e4d,Veterinarian,2023-08-07,2023-08-07,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Morendat Farm,Herbivore,Giraffe,<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Wire Snare ,Clinical,0.0,[Treatment]
8403cae7-0d04-4c5f-9d2c-00a5718847b6,Veterinarian,2023-08-07,2023-08-07,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Olumorogi Kenya Nut,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare & Fractured Right Front Leg,Clinical,0.0,"[Treatment, Other]"
af6768df-6a5b-407e-9642-ab74e176082f,Veterinarian,2023-08-12,2023-08-12,Rainy,0.0,0.0,Central Rift,Protected Area: National Park,Lake Nakuru NP,Carnivore,Lions,<10,Yes,1.0,Predator,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Traumatic Injury ,Clinical,0.0,[Treatment]
9c678295-ee33-40c8-966f-aa8671523bc8,Veterinarian,2023-08-11,2023-08-11,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,NINI Farm ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Wire Snare ,Clinical,0.0,[Treatment]
3fb5fadd-d625-49ff-993b-c35e9cd5212f,Veterinarian,2023-08-14,2023-08-14,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Conservancies,Kongoni Game Valley ,Herbivore,Buffalo,<10,Yes,1.0,Species territorial fights,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Wounded by Others ,Clinical,0.0,[Treatment]
f70dc601-ed9f-4086-b571-6e89eb0c3336,Veterinarian,2023-08-22,2023-08-22,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Community land,Green Park Estate ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Predator,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Myasis Caused by Heavy Tick Infestation ,Clinical,0.0,[Treatment]
