Date of Report,Date of Start of Outbreak/Event,County,Sub-County,Ward,Locality,Species Affected,Production System,Abortion,Number Sick / Bitten,Number Dead,Disease/Condition,Nature of Diagnosis,Number of Humans Affected (If zoonosis),Number Vaccinated,Disease Control Method,Longitude,Latitude,Number Sick
2024-01-27,2024-01-27,Marsabit,Moyale,Uran,Village/Farm,Goats,Extensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],38.235465,3.503258,1
2024-01-26,2024-01-23,Marsabit,Moyale,Uran,Village/Farm,Goats,Extensive,No,0,1,Pneumonia,Clinical,0,0,[Treatment],38.235465,3.503258,5
2024-01-26,2024-01-26,Vihiga,Vihiga,South Maragoli,Village/Farm,Cattle,Mixed,No,0,0,Helminthiasis,Clinical,0,0,[Vector Control],34.7293583,0.0135349,3
2024-01-26,2024-01-24,Marsabit,Moyale,Uran,Village/Farm,Goats,Extensive,No,0,1,Pneumonia,Clinical,0,0,[Treatment],38.241528,3.489085,3
2024-01-26,2024-01-25,Marsabit,Moyale,Moyale Township,Agrovet,Cattle,Extensive,No,0,0,Anthrax,Clinical,0,0,[Treatment],39.0601677,3.5271997,1
2024-01-26,2024-01-25,Marsabit,Moyale,Uran,Village/Farm,Goats,Extensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],38.235465,3.503258,1
2024-01-26,2024-01-26,Bomet,Bomet East,Kipreres,Abattoir,Goats,Unknown,No,0,0,Helminthiasis,Post Mortem,0,0,[Other],35.4188332,-0.9302969,2
2024-01-26,2024-01-25,Marsabit,Moyale,Uran,Village/Farm,Sheep,Extensive,No,0,0,Pneumonia,Clinical,0,0,[Treatment],38.241528,3.489085,1
2024-01-26,2024-01-26,Bomet,Bomet East,Longisa,Abattoir,Cattle,Unknown,No,0,0,Pneumonia,Post Mortem,0,0,[Other],35.3917041,-0.863881,1
2024-01-27,2024-01-27,Kakamega,Likuyani,Sango,Village/Farm,Cattle,Mixed,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],35.0379559,0.7856511,1
2024-01-26,2024-01-26,Bomet,Bomet East,Longisa,Abattoir,Cattle,Unknown,No,0,0,Helminthiasis,Post Mortem,0,0,[Other],35.3917041,-0.863881,1
2024-01-27,2024-01-25,Nakuru,Gilgil,Elementaita,Village/Farm,Cattle,Extensive,No,0,0,Pink Eye,Clinical,0,0,[Treatment],36.2049307,-0.3600915,4
2024-01-27,2024-01-27,Kakamega,Likuyani,Sango,Village/Farm,Sheep,Mixed,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],35.0795908,0.7127553,3
2024-01-27,2024-01-27,Vihiga,Emuhaya,Central Bunyore,Village/Farm,Cattle,Mixed,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],34.6419214,0.0940055,10
